AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
21,Female,Undergraduate,Senior,No Unit Load,0,College of Engineering,0,1
22,Female,Undergraduate,Sophomore,Enrolled Full-Time,15,Syracuse University,3.05,21
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,College of Education,0.4,3
19,Male,Undergraduate,Junior,Enrolled Half-Time,7,Syracuse University,0,1
23,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Education,3.2,12
21,Female,Undergraduate,Senior,Enrolled Full-Time,16,College of Education,0.5,2
19,Male,Undergraduate,Freshman,Enrolled Full-Time,13,SUNY at Brockport,1.45,9
21,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,8,SUNY at Buffalo,2.55,15
21,Female,Undergraduate,Junior,Enrolled Full-Time,18,SUNY at Buffalo,1.15,7
20,Male,Undergraduate,Junior,Enrolled Full-Time,14,College of Health Professions,1,3
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,16,Syracuse University,1.4,6
